Matiz,Saturacion,Valor,Brillo,SRE,LRE,GNL,RLNU,RP,LGRE,HGRE,SRLGE,SRHGE,LRLGE,LRHGE,GLV,RLV,Etiqueta
0.054154,0.883503,0.31449,0.341775,0.154277,0.735043,0.505277,0.922279,0.35149,0.177551,0.922536,0.675429,0.675993,0.305623,0.604885,0.543683,0.753089,1
0.042855,0.887456,0.306934,0.338043,0.153728,0.722689,0.514528,0.923033,0.338319,0.17393,0.924751,0.675818,0.676533,0.29616,0.610278,0.544139,0.755301,1
0.04889,0.882809,0.307409,0.337955,0.159703,0.7213,0.514512,0.919962,0.359693,0.174122,0.921742,0.674605,0.671957,0.309572,0.601695,0.534396,0.761447,1
0.050713,0.88396,0.309711,0.342306,0.148677,0.719132,0.517916,0.925,0.35365,0.176962,0.927196,0.67712,0.677279,0.304891,0.60267,0.54649,0.752574,1
0.051699,0.882483,0.311329,0.342761,0.147369,0.718465,0.517822,0.923134,0.359758,0.177462,0.925347,0.676186,0.672668,0.310994,0.599558,0.534521,0.762494,1
0.032856,0.882076,0.309849,0.34286,0.146724,0.713697,0.521535,0.923808,0.362065,0.177465,0.926598,0.676555,0.676342,0.306503,0.605817,0.545576,0.757175,1
0.042537,0.881335,0.315791,0.348667,0.153022,0.718003,0.519625,0.927062,0.372068,0.181284,0.929457,0.672551,0.67272,0.314864,0.600237,0.545495,0.754976,1
0.039679,0.883736,0.313982,0.346271,0.16843,0.713259,0.522507,0.925374,0.369472,0.179801,0.928265,0.669614,0.672059,0.310421,0.607187,0.550904,0.74929,1
0.057621,0.878131,0.318976,0.34896,0.156586,0.717049,0.519215,0.923563,0.376792,0.18251,0.925954,0.676447,0.675853,0.317946,0.601595,0.551108,0.751676,1
0.06496,0.828053,0.514364,0.458526,0.234481,0.716964,0.524614,0.941818,0.408263,0.355836,0.944812,0.708963,0.677667,0.307066,0.672935,0.466849,0.831321,1
0.054775,0.8807,0.320692,0.350959,0.161793,0.718003,0.519392,0.926059,0.369471,0.183338,0.928421,0.671143,0.673037,0.312405,0.607101,0.55448,0.748599,1
0.056099,0.878893,0.325624,0.355183,0.179888,0.72394,0.515147,0.926247,0.387431,0.18576,0.927924,0.666147,0.666489,0.322836,0.606204,0.552789,0.74479,1
0.054672,0.880294,0.324846,0.348981,0.1627,0.722894,0.514149,0.921171,0.368068,0.183899,0.922806,0.671428,0.6747,0.311525,0.611995,0.560285,0.742935,1
0.032166,0.911809,0.297762,0.276079,0.132079,0.739226,0.483874,0.87203,0.32955,0.143877,0.870171,0.693082,0.701455,0.291082,0.63235,0.571467,0.735385,1
0.045522,0.886057,0.330773,0.34977,0.133657,0.727731,0.510638,0.921019,0.339199,0.185272,0.922086,0.679922,0.685956,0.297621,0.622853,0.572028,0.735415,1
0.051083,0.884318,0.335287,0.348287,0.14051,0.731181,0.506286,0.915659,0.35229,0.186246,0.91615,0.678468,0.683297,0.305119,0.618327,0.568377,0.738493,1
0.036089,0.886316,0.34095,0.349839,0.179935,0.736233,0.503368,0.917604,0.375507,0.188324,0.917571,0.664089,0.673875,0.310814,0.617898,0.574981,0.728385,1
0.043622,0.884596,0.345994,0.349364,0.185045,0.741946,0.498163,0.914538,0.378605,0.190395,0.913741,0.661063,0.668973,0.316858,0.615301,0.568033,0.731615,1
0.036684,0.889343,0.347048,0.343743,0.174076,0.745241,0.49334,0.907969,0.367452,0.188055,0.906575,0.663993,0.678971,0.308675,0.625373,0.580074,0.72368,1
0.035878,0.888464,0.351087,0.341383,0.162982,0.751062,0.487171,0.902666,0.36243,0.188672,0.900423,0.669793,0.686813,0.304385,0.628562,0.591282,0.716391,1
0.065278,0.832901,0.505392,0.452803,0.226724,0.714827,0.526971,0.944047,0.395567,0.348376,0.947362,0.704808,0.674937,0.301626,0.670885,0.469097,0.828304,1
0.036632,0.893205,0.356204,0.341439,0.167508,0.75834,0.481877,0.902935,0.356189,0.190073,0.899855,0.665485,0.683472,0.302896,0.63372,0.593449,0.709842,1
0.029475,0.892228,0.361839,0.338453,0.153234,0.765785,0.473986,0.896323,0.350267,0.191514,0.892161,0.673045,0.694121,0.29756,0.637908,0.598188,0.711544,1
0.036104,0.894559,0.36572,0.338431,0.16944,0.772326,0.468426,0.894496,0.352551,0.192176,0.889515,0.667634,0.691826,0.293932,0.646436,0.607085,0.702024,1
0.031043,0.893545,0.371928,0.336864,0.163243,0.780716,0.460644,0.890279,0.340809,0.194502,0.884185,0.671724,0.69867,0.287081,0.649432,0.614676,0.696006,1
0.034413,0.897565,0.377113,0.336905,0.155424,0.787287,0.455126,0.888764,0.324906,0.196345,0.881857,0.670575,0.704733,0.272888,0.661117,0.627568,0.687014,1
0.036568,0.897347,0.389253,0.338783,0.160975,0.798246,0.44488,0.883385,0.314335,0.201756,0.875028,0.671033,0.706862,0.267521,0.668952,0.622856,0.689518,1
0.037769,0.899027,0.390523,0.337743,0.159526,0.80187,0.441741,0.882289,0.314063,0.201761,0.873475,0.675262,0.713209,0.263169,0.674359,0.636678,0.678164,1
0.032675,0.897383,0.398396,0.337763,0.150844,0.810175,0.433965,0.878183,0.303869,0.205219,0.86827,0.675389,0.714287,0.260836,0.673937,0.637055,0.678815,1
0.037771,0.897384,0.405466,0.339596,0.155509,0.817605,0.427248,0.875382,0.307169,0.208907,0.864513,0.676906,0.719491,0.255915,0.684248,0.650521,0.66578,1
0.049024,0.867406,0.447325,0.412417,0.187791,0.825177,0.436891,0.912849,0.321836,0.25458,0.902315,0.656583,0.699495,0.26478,0.676111,0.645391,0.666964,1
0.077569,0.831642,0.501844,0.451853,0.228025,0.718302,0.525173,0.945853,0.401552,0.344416,0.948823,0.704034,0.672777,0.310196,0.663066,0.467401,0.827093,1
0.051989,0.869598,0.452464,0.411627,0.171994,0.826865,0.434019,0.908796,0.298502,0.256895,0.897934,0.661034,0.709124,0.248433,0.688963,0.6582,0.658009,1
0.041155,0.867183,0.460216,0.410427,0.186903,0.830147,0.42836,0.900579,0.312429,0.261371,0.889069,0.660726,0.711345,0.251861,0.693977,0.655723,0.660725,1
0.05154,0.868029,0.466322,0.411848,0.188567,0.834383,0.423863,0.897437,0.297676,0.265189,0.885333,0.65981,0.715095,0.239986,0.706978,0.672466,0.642602,1
0.043439,0.864089,0.474734,0.414122,0.184703,0.841968,0.416678,0.89346,0.303619,0.270392,0.880343,0.659275,0.713727,0.244999,0.701195,0.667485,0.646789,1
0.046619,0.864816,0.47931,0.411796,0.182754,0.844211,0.412019,0.886375,0.290257,0.273028,0.872768,0.663151,0.721783,0.230823,0.718855,0.682014,0.636141,1
0.029631,0.8627,0.489343,0.41472,0.226159,0.844277,0.410091,0.881821,0.313487,0.27976,0.868059,0.655059,0.714663,0.241271,0.71423,0.677767,0.635184,1
0.048012,0.863537,0.492913,0.412808,0.162418,0.849432,0.402718,0.873816,0.269585,0.282495,0.859194,0.672749,0.73623,0.216224,0.735981,0.69174,0.631721,1
