Matiz,Saturacion,Valor,Brillo,SRE,LRE,GNL,RLNU,RP,LGRE,HGRE,SRLGE,SRHGE,LRLGE,LRHGE,GLV,RLV,Etiqueta
0.045601,0.754646,0.841584,0.471019,0.360409,0.775283,0.287958,0.548937,0.273013,0.569443,0.531895,0.754679,0.807411,0.17183,0.840483,0.569039,0.805192,4
0.160914,0.395798,0.716167,0.85249,0.576462,0.347766,0.571658,0.285437,0.644129,0.921798,0.309883,0.673951,0.58352,0.589317,0.222135,0.107036,0.972887,3
0.928658,0.102327,0.117883,0.566179,0.241905,0.022087,0.937796,0.266507,0.487512,0.37424,0.328313,0.347238,0.406347,0.415413,0.368127,0.812271,0.30513,5
0.152759,0.564079,0.626837,0.502602,0.216317,0.508686,0.318193,0.183196,0.341659,0.778164,0.18565,0.838701,0.794826,0.335289,0.464835,0.291052,0.949035,2
0.792957,0.040188,0.244594,0.803203,0.719033,0.047771,0.959645,0.537259,0.871823,0.518208,0.604642,0.058405,0.077806,0.82724,0.118067,0.696698,0.168547,5
0.152077,0.582018,0.62876,0.43749,0.154866,0.52946,0.28051,0.166128,0.221654,0.768329,0.165621,0.889175,0.874514,0.225427,0.562345,0.385107,0.932448,2
0.158469,0.500566,0.477987,0.515501,0.2895,0.350687,0.538436,0.226114,0.408736,0.696227,0.248342,0.825629,0.799827,0.344749,0.423446,0.342421,0.938516,3
0.944399,0.471606,0.704124,0.551458,0.176788,0.798999,0.023558,0.218557,0.212003,0.539047,0.188293,0.624562,0.727545,0.108019,0.882133,1,0.170598,5
0.049571,0.826485,0.560258,0.491348,0.263266,0.84903,0.39383,0.875992,0.300027,0.356323,0.860706,0.644843,0.710555,0.219146,0.754488,0.706008,0.612621,1
0.14853,0.439499,0.620738,0.650293,0.317297,0.368939,0.516813,0.224668,0.551675,0.827359,0.244723,0.81178,0.692855,0.535494,0.24011,0.050427,0.998726,3
0.029673,0.888604,0.289517,0.317419,0.268165,0.718731,0.506051,0.91343,0.430842,0.168865,0.914517,0.646298,0.651032,0.329795,0.64314,0.592512,0.715008,1
0.74609,0.020319,0.045641,0.518333,0.328373,0.046509,0.919544,0.310781,0.755994,0.335509,0.371142,0.185951,0.208885,0.720533,0.17606,0.687936,0.367737,5
0.145457,0.519297,0.707268,0.573553,0.259695,0.473937,0.329043,0.138105,0.300307,0.842012,0.143182,0.807485,0.767392,0.293162,0.490888,0.282177,0.947858,2
0.143752,0.518199,0.704576,0.571047,0.255471,0.466683,0.338592,0.138517,0.298254,0.840584,0.144453,0.807708,0.766056,0.292857,0.489182,0.277629,0.949243,2
0.761022,0.021097,0.26721,0.807365,0.565476,0.056437,0.948996,0.519475,0.914622,0.526987,0.585285,0.083109,0.068825,0.910635,0.071292,0.602946,0.324527,5
0.801699,0.038272,0.233249,0.779644,0.609409,0,1,0.503634,0.89756,0.503251,0.57552,0.072639,0.060021,0.875033,0.07124,0.611258,0.299867,5
0.092109,0.641092,0.851267,0.626885,0.540066,0.547161,0.45195,0.456074,0.389916,0.741699,0.462681,0.706052,0.688105,0.313884,0.666602,0.344086,0.902176,4
0.093055,0.74042,0.546304,0.382196,0.325335,0.483986,0.55326,0.541671,0.231534,0.440942,0.558351,0.755292,0.801214,0.161433,0.776098,0.567624,0.802923,4
0.154232,0.508385,0.765767,0.536153,0.153763,0.473159,0.227142,0.018573,0.182256,0.875429,0.019957,0.860235,0.823083,0.241799,0.512783,0.303091,0.949832,2
0.708996,0.009329,0.027336,0.512084,0.397705,0.029106,0.946192,0.350307,0.851111,0.32872,0.413948,0.090472,0.105918,0.838654,0.099192,0.676998,0.260399,5
0.048738,0.859846,0.52022,0.368527,0.195663,0.721523,0.479297,0.852494,0.310339,0.348254,0.851326,0.772888,0.755007,0.22684,0.749711,0.464838,0.856729,1
0.046787,0.826958,0.661977,0.37968,0.169231,0.721302,0.381359,0.636856,0.165637,0.456868,0.628889,0.829934,0.859302,0.120797,0.847381,0.535678,0.846015,1
0.042689,0.967909,0.283996,0.093084,0.081319,0.907163,0.260665,0.698711,0.162349,0.064444,0.671039,0.724214,0.804002,0.132342,0.790434,0.794623,0.566721,1
0.136235,0.349976,0.710274,0.995253,0.977025,0.253227,0.734062,0.435525,0.810065,0.941748,0.475741,0.552493,0.458429,0.757784,0.155542,0.058983,0.968925,3
0.157047,0.394729,0.710092,0.846356,0.605894,0.353456,0.566853,0.288327,0.649581,0.915483,0.312201,0.673722,0.585306,0.590661,0.233028,0.115815,0.971037,3
0.144604,0.703157,0.696196,0.452521,0.29831,0.56783,0.417212,0.427482,0.246444,0.586181,0.430775,0.772049,0.808222,0.20262,0.783779,0.528,0.807493,4
0.065457,0.84173,0.658399,0.341304,0.112011,0.741734,0.353426,0.617713,0.11976,0.441425,0.606758,0.855909,0.890675,0.098614,0.877123,0.551354,0.842566,1
0.852473,0.116084,0.207901,0.647883,0.354098,0.059418,0.914777,0.350593,0.680306,0.437233,0.41071,0.300855,0.307176,0.61107,0.277801,0.680268,0.398495,5
0.153974,0.39062,0.686978,0.872295,0.692125,0.332952,0.5907,0.290784,0.698396,0.902051,0.317126,0.613451,0.52529,0.652996,0.19978,0.106716,0.962168,3
0.14675,0.528634,0.67359,0.533653,0.237558,0.484608,0.325269,0.150512,0.299348,0.813957,0.154739,0.819423,0.778424,0.295551,0.488718,0.281507,0.950186,2
0.159104,0.429912,0.688595,0.647161,0.27397,0.417587,0.381603,0.109531,0.470354,0.875428,0.120271,0.817667,0.722492,0.456457,0.289439,0.110937,0.990047,3
0.03448,0.99704,0.303757,0.002216,0.024446,0.933773,0.176317,0.597864,0.063078,0.054172,0.563898,0.767709,0.876931,0.064726,0.885466,0.8276,0.557746,1
